id,symbol,value_date,amount,created_date,created_by
1,ABB2026S0,2021-11-10,100,2021-11-10 17:32:26.811,demo
2,ABBEYBDS [BLS],2021-11-10,0.95,2021-11-10 17:32:26.812,demo
3,ABCTRANS,2021-11-10,0.3,2021-11-10 17:32:26.812,demo
4,ACADEMY,2021-11-10,0.33,2021-11-10 17:32:26.812,demo
5,ACCESS,2021-11-10,9.4,2021-11-10 17:32:26.812,demo
6,AFRINSURE,2021-11-10,0.2,2021-11-10 17:32:26.812,demo
7,AFRIPRUD,2021-11-10,6.3,2021-11-10 17:32:26.812,demo
8,AFROMEDIA,2021-11-10,0.2,2021-11-10 17:32:26.812,demo
9,AGB2024S0,2021-11-10,100,2021-11-10 17:32:26.812,demo
10,AIICO,2021-11-10,1.29,2021-11-10 17:32:26.812,demo
11,AIRTELAFRI,2021-11-10,880,2021-11-10 17:32:26.812,demo
12,ALEX [BLS],2021-11-10,7.2,2021-11-10 17:32:26.812,demo
13,ARBICO [BLS],2021-11-10,1.03,2021-11-10 17:32:26.812,demo
14,ARDOVA,2021-11-10,13.95,2021-11-10 17:32:26.812,demo
15,ASOSAVINGS [DIP],2021-11-10,0.5,2021-11-10 17:32:26.812,demo
16,AUSTINLAZ [BLS],2021-11-10,2.03,2021-11-10 17:32:26.812,demo
17,AXA2027S1,2021-11-10,100,2021-11-10 17:32:26.812,demo
18,BAPLC,2021-11-10,6.25,2021-11-10 17:32:26.812,demo
19,BAU2021S1,2021-11-10,100,2021-11-10 17:32:26.812,demo
20,BERGER,2021-11-10,8.55,2021-11-10 17:32:26.812,demo
21,BETAGLAS,2021-11-10,52.95,2021-11-10 17:32:26.812,demo
22,BNB2022S0,2021-11-10,100,2021-11-10 17:32:26.812,demo
23,BOCGAS,2021-11-10,10.5,2021-11-10 17:32:26.812,demo
24,BUA2027S1,2021-11-10,100,2021-11-10 17:32:26.812,demo
25,BUACEMENT,2021-11-10,74.5,2021-11-10 17:32:26.812,demo
26,CADBURY,2021-11-10,9.35,2021-11-10 17:32:26.812,demo
27,CAP,2021-11-10,19.5,2021-11-10 17:32:26.812,demo
28,CAPHOTEL [BLS],2021-11-10,3.19,2021-11-10 17:32:26.813,demo
29,CAPOIL [MRF],2021-11-10,0.2,2021-11-10 17:32:26.813,demo
30,CAVERTON,2021-11-10,1.8,2021-11-10 17:32:26.813,demo
31,CHAMPION [BLS],2021-11-10,2.8,2021-11-10 17:32:26.813,demo
32,CHAMS,2021-11-10,0.24,2021-11-10 17:32:26.813,demo
33,CHELLARAM [MRF],2021-11-10,2.24,2021-11-10 17:32:26.813,demo
34,CHIPLC,2021-11-10,0.55,2021-11-10 17:32:26.813,demo
35,CIB2023S1,2021-11-10,100,2021-11-10 17:32:26.813,demo
36,CIL2028S2,2021-11-10,100,2021-11-10 17:32:26.813,demo
